nu,idFile,number,states/code,states/name,states/nu,states/forbidden/into/bool/v,states/forbidden/into/bool/uv,states/forbidden/into/comment/en,states/forbidden/into/comment/en.1,states/forbidden/into/comment/en.2,states/forbidden/into/comment/en.3,states/quara/into/where/e,states/quara/into/where/v,states/quara/into/where/uv,states/quara/into/dur/e,states/quara/into/dur/v,states/quara/into/dur/uv,states/quara/into/comment/en,states/quara/into/comment/de,states/quara/into/comment/fr,states/quara/into/comment/es,states/test/into/pcr/e,states/test/into/pcr/v,states/test/into/pcr/uv,states/test/into/or,states/test/into/ag/e,states/test/into/ag/v,states/test/into/ag/uv,states/test/into/comment/en,states/test/into/comment/de,states/test/into/comment/fr,states/test/into/comment/es,states/link/into,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
AF,AF_States,1,BDS,Badakhshān,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,2,BGL,Baghlān,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,3,BAL,Balkh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,4,BDG,Bādghīs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,5,BAM,Bāmyān,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,6,DAY,Dāykundī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,7,FRA,Farāh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,8,FYB,Fāryāb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,9,GHA,Ghaznī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,10,GHO,Ghōr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,11,HEL,Helmand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,12,HER,Herāt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,13,JOW,Jowzjān,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,14,KAN,Kandahār,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,15,KHO,Khōst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,16,KNR,Kunar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,17,KDZ,Kunduz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,AF_States,18,KAB,Kābul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
