nu,idFile,nu.1,states/code,states/name,states/nu,states/forbidden/into/bool/v,states/forbidden/into/bool/uv,states/forbidden/into/comment/en,states/forbidden/into/comment/en.1,states/forbidden/into/comment/en.2,states/forbidden/into/comment/en.3,states/quara/into/where/e,states/quara/into/where/v,states/quara/into/where/uv,states/quara/into/dur/e,states/quara/into/dur/v,states/quara/into/dur/uv,states/quara/into/comment/en,states/quara/into/comment/de,states/quara/into/comment/fr,states/quara/into/comment/es,states/test/into/pcr/e,states/test/into/pcr/v,states/test/into/pcr/uv,states/test/into/or,states/test/into/ag/e,states/test/into/ag/v,states/test/into/ag/uv,states/test/into/comment/en,states/test/into/comment/de,states/test/into/comment/fr,states/test/into/comment/es,states/link/into,,.1,.2,.3,.4,Unnamed: 39,Unnamed: 40,Unnamed: 41
AF,AF_States,1,BDS,Badakhshān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,2,BGL,Baghlān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,3,BAL,Balkh,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,4,BDG,Bādghīs,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,5,BAM,Bāmyān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,6,DAY,Dāykundī,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,7,FRA,Farāh,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,8,FYB,Fāryāb,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,9,GHA,Ghaznī,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,10,GHO,Ghōr,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
