id,idFile,nu,states/0/code,states/0/name,states/0/path,states/0/quara/into/where/e,states/0/quara/into/where/v,states/0/quara/into/where/uv,states/0/quara/into/min/e,states/0/quara/into/min/v,states/0/quara/into/min/uv,states/0/quara/into/max/e,states/0/quara/into/max/v,states/0/quara/into/max/uv,states/0/quara/into/comment,states/0/test/into/pcr/e,states/0/test/into/pcr/v,states/0/test/into/pcr/uv,states/0/test/into/ag/e,states/0/test/into/ag/v,states/0/test/into/ag/uv,states/0/test/into/comment,states/0/visa/into/bool,states/0/visa/into/comment
AF,AF_States,1,BDS,Badakhshān,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,2,BGL,Baghlān,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,3,BAL,Balkh,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,4,BDG,Bādghīs,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,5,BAM,Bāmyān,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,6,DAY,Dāykundī,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,7,FRA,Farāh,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,8,FYB,Fāryāb,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,9,GHA,Ghaznī,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,10,GHO,Ghōr,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
AF,AF_States,11,HEL,Helmand,,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States,AF_States-->AF_States
