nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,AF-->AG,,,,,,,,,,,,,,,,,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF,AG-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,,,,,,,,,,,,,,,,,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,AL-->AG,,,,,,,,,,,,,,,,,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL,AG-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,DZ-->AG,,,,,,,,,,,,,,,,,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ,AG-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,AS-->AG,,,,,,,,,,,,,,,,,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS,AG-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,AD-->AG,,,,,,,,,,,,,,,,,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD,AG-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,AO-->AG,,,,,,,,,,,,,,,,,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO,AG-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,AI-->AG,,,,,,,,,,,,,,,,,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI,AG-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,AQ-->AG,,,,,,,,,,,,,,,,,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ,AG-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,,,,,,,,,,,,,,,,,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG,AG-->AG
