nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,AF-->AM,,,,,,,,,,,,,,,,,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF,AM-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,AX-->AM,,,,,,,,,,,,,,,,,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX,AM-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,AL-->AM,,,,,,,,,,,,,,,,,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL,AM-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,DZ-->AM,,,,,,,,,,,,,,,,,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ,AM-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,AS-->AM,,,,,,,,,,,,,,,,,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS,AM-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,AD-->AM,,,,,,,,,,,,,,,,,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD,AM-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,AO-->AM,,,,,,,,,,,,,,,,,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO,AM-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,AI-->AM,,,,,,,,,,,,,,,,,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI,AM-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,AQ-->AM,,,,,,,,,,,,,,,,,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ,AM-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,AG-->AM,,,,,,,,,,,,,,,,,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG,AM-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,AR-->AM,,,,,,,,,,,,,,,,,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR,AM-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,,,,,,,,,,,,,,,,,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM,AM-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,AW-->AM,,,,,,,,,,,,,,,,,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW,AM-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,AU-->AM,,,,,,,,,,,,,,,,,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU,AM-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,AT-->AM,,,,,,,,,,,,,,,,,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT,AM-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,AZ-->AM,,,,,,,,,,,,,,,,,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ,AM-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,,,,,,,,,,,,,,,,,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,BH-->AM,,,,,,,,,,,,,,,,,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH,AM-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,BD-->AM,,,,,,,,,,,,,,,,,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD,AM-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,BB-->AM,,,,,,,,,,,,,,,,,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB,AM-->BB
