nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,AF-->AX,,,,,,,,,,,,,,,,,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF,AX-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,,,,,,,,,,,,,,,,,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX,AX-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,AL-->AX,,,,,,,,,,,,,,,,,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL,AX-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,DZ-->AX,,,,,,,,,,,,,,,,,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ,AX-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,AS-->AX,,,,,,,,,,,,,,,,,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS,AX-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,AD-->AX,,,,,,,,,,,,,,,,,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD,AX-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,AO-->AX,,,,,,,,,,,,,,,,,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO,AX-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,AI-->AX,,,,,,,,,,,,,,,,,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI,AX-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,AQ-->AX,,,,,,,,,,,,,,,,,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ,AX-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,AG-->AX,,,,,,,,,,,,,,,,,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG,AX-->AG
