nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,AF-->BA,,,,,,,,,,,,,,,,,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF,BA-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,AX-->BA,,,,,,,,,,,,,,,,,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX,BA-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,AL-->BA,,,,,,,,,,,,,,,,,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL,BA-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,DZ-->BA,,,,,,,,,,,,,,,,,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ,BA-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,AS-->BA,,,,,,,,,,,,,,,,,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS,BA-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,AD-->BA,,,,,,,,,,,,,,,,,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD,BA-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,AO-->BA,,,,,,,,,,,,,,,,,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO,BA-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,AI-->BA,,,,,,,,,,,,,,,,,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI,BA-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,AQ-->BA,,,,,,,,,,,,,,,,,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ,BA-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,AG-->BA,,,,,,,,,,,,,,,,,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG,BA-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,AR-->BA,,,,,,,,,,,,,,,,,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR,BA-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,AM-->BA,,,,,,,,,,,,,,,,,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM,BA-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,AW-->BA,,,,,,,,,,,,,,,,,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW,BA-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,AU-->BA,,,,,,,,,,,,,,,,,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU,BA-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,AT-->BA,,,,,,,,,,,,,,,,,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT,BA-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,AZ-->BA,,,,,,,,,,,,,,,,,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ,BA-->AZ
