nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,AF-->BE,,,,,,,,,,,,,,,,,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF,BE-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,AX-->BE,,,,,,,,,,,,,,,,,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX,BE-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,AL-->BE,,,,,,,,,,,,,,,,,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL,BE-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,DZ-->BE,,,,,,,,,,,,,,,,,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ,BE-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,AS-->BE,,,,,,,,,,,,,,,,,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS,BE-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,AD-->BE,,,,,,,,,,,,,,,,,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD,BE-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,AO-->BE,,,,,,,,,,,,,,,,,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO,BE-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,AI-->BE,,,,,,,,,,,,,,,,,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI,BE-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,AQ-->BE,,,,,,,,,,,,,,,,,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ,BE-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,AG-->BE,,,,,,,,,,,,,,,,,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG,BE-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,AR-->BE,,,,,,,,,,,,,,,,,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR,BE-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,AM-->BE,,,,,,,,,,,,,,,,,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM,BE-->AM
