nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,AF-->BS,,,,,,,,,,,,,,,,,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF,BS-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,AX-->BS,,,,,,,,,,,,,,,,,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX,BS-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,AL-->BS,,,,,,,,,,,,,,,,,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL,BS-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,DZ-->BS,,,,,,,,,,,,,,,,,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ,BS-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,AS-->BS,,,,,,,,,,,,,,,,,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS,BS-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,AD-->BS,,,,,,,,,,,,,,,,,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD,BS-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,AO-->BS,,,,,,,,,,,,,,,,,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO,BS-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,AI-->BS,,,,,,,,,,,,,,,,,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI,BS-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,AQ-->BS,,,,,,,,,,,,,,,,,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ,BS-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,AG-->BS,,,,,,,,,,,,,,,,,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG,BS-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,AR-->BS,,,,,,,,,,,,,,,,,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR,BS-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,AM-->BS,,,,,,,,,,,,,,,,,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM,BS-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,AW-->BS,,,,,,,,,,,,,,,,,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW,BS-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,AU-->BS,,,,,,,,,,,,,,,,,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU,BS-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,AT-->BS,,,,,,,,,,,,,,,,,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT,BS-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,AZ-->BS,,,,,,,,,,,,,,,,,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ,BS-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,,,,,,,,,,,,,,,,,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS,BS-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,BH-->BS,,,,,,,,,,,,,,,,,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH,BS-->BH
