nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,AF-->BY,,,,,,,,,,,,,,,,,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF,BY-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,AX-->BY,,,,,,,,,,,,,,,,,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX,BY-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,AL-->BY,,,,,,,,,,,,,,,,,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL,BY-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,DZ-->BY,,,,,,,,,,,,,,,,,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ,BY-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,AS-->BY,,,,,,,,,,,,,,,,,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS,BY-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,AD-->BY,,,,,,,,,,,,,,,,,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD,BY-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,AO-->BY,,,,,,,,,,,,,,,,,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO,BY-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,AI-->BY,,,,,,,,,,,,,,,,,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI,BY-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,AQ-->BY,,,,,,,,,,,,,,,,,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ,BY-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,AG-->BY,,,,,,,,,,,,,,,,,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG,BY-->AG
