nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,AF-->CA,,,,,,,,,,,,,,,,,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF,CA-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,AX-->CA,,,,,,,,,,,,,,,,,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX,CA-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,AL-->CA,,,,,,,,,,,,,,,,,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL,CA-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,DZ-->CA,,,,,,,,,,,,,,,,,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ,CA-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,AS-->CA,,,,,,,,,,,,,,,,,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS,CA-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,AD-->CA,,,,,,,,,,,,,,,,,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD,CA-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,AO-->CA,,,,,,,,,,,,,,,,,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO,CA-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,AI-->CA,,,,,,,,,,,,,,,,,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI,CA-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,AQ-->CA,,,,,,,,,,,,,,,,,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ,CA-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,AG-->CA,,,,,,,,,,,,,,,,,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG,CA-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,AR-->CA,,,,,,,,,,,,,,,,,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR,CA-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,AM-->CA,,,,,,,,,,,,,,,,,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM,CA-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,AW-->CA,,,,,,,,,,,,,,,,,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW,CA-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,AU-->CA,,,,,,,,,,,,,,,,,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU,CA-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,AT-->CA,,,,,,,,,,,,,,,,,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT,CA-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,AZ-->CA,,,,,,,,,,,,,,,,,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ,CA-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,BS-->CA,,,,,,,,,,,,,,,,,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS,CA-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,BH-->CA,,,,,,,,,,,,,,,,,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH,CA-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,BD-->CA,,,,,,,,,,,,,,,,,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD,CA-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,BB-->CA,,,,,,,,,,,,,,,,,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB,CA-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,BY-->CA,,,,,,,,,,,,,,,,,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY,CA-->BY
