nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,AF-->CL,,,,,,,,,,,,,,,,,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF,CL-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,AX-->CL,,,,,,,,,,,,,,,,,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX,CL-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,AL-->CL,,,,,,,,,,,,,,,,,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL,CL-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,DZ-->CL,,,,,,,,,,,,,,,,,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ,CL-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,AS-->CL,,,,,,,,,,,,,,,,,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS,CL-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,AD-->CL,,,,,,,,,,,,,,,,,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD,CL-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,AO-->CL,,,,,,,,,,,,,,,,,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO,CL-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,AI-->CL,,,,,,,,,,,,,,,,,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI,CL-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,AQ-->CL,,,,,,,,,,,,,,,,,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ,CL-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,AG-->CL,,,,,,,,,,,,,,,,,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG,CL-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,AR-->CL,,,,,,,,,,,,,,,,,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR,CL-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,AM-->CL,,,,,,,,,,,,,,,,,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM,CL-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,AW-->CL,,,,,,,,,,,,,,,,,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW,CL-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,AU-->CL,,,,,,,,,,,,,,,,,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU,CL-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,AT-->CL,,,,,,,,,,,,,,,,,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT,CL-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,AZ-->CL,,,,,,,,,,,,,,,,,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ,CL-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,BS-->CL,,,,,,,,,,,,,,,,,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS,CL-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,BH-->CL,,,,,,,,,,,,,,,,,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH,CL-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,BD-->CL,,,,,,,,,,,,,,,,,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD,CL-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,BB-->CL,,,,,,,,,,,,,,,,,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB,CL-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,BY-->CL,,,,,,,,,,,,,,,,,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY,CL-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,BE-->CL,,,,,,,,,,,,,,,,,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE,CL-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,BZ-->CL,,,,,,,,,,,,,,,,,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ,CL-->BZ
BJ,BEN,Benin,Porto-Novo,Africa,Western Africa,,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,BJ-->CL,,,,,,,,,,,,,,,,,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ,CL-->BJ
BM,BMU,Bermuda,Hamilton,Americas,Northern America,,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,BM-->CL,,,,,,,,,,,,,,,,,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM,CL-->BM
BT,BTN,Bhutan,Thimphu,Asia,Southern Asia,,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,BT-->CL,,,,,,,,,,,,,,,,,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT,CL-->BT
BO,BOL,Bolivia,Sucre,Americas,South America,,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,BO-->CL,,,,,,,,,,,,,,,,,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO,CL-->BO
BQ,BES,Bonaire,Kralendijk,Americas,Caribbean,,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,BQ-->CL,,,,,,,,,,,,,,,,,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ,CL-->BQ
BA,BIH,Bosnia and Herzegovina,Sarajevo,Europe,Southern Europe,,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,BA-->CL,,,,,,,,,,,,,,,,,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA,CL-->BA
BW,BWA,Botswana,Gaborone,Africa,Southern Africa,,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,BW-->CL,,,,,,,,,,,,,,,,,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW,CL-->BW
BV,BVT,Bouvet Island,,,,,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,BV-->CL,,,,,,,,,,,,,,,,,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV,CL-->BV
BR,BRA,Brazil,Brasília,Americas,South America,,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,BR-->CL,,,,,,,,,,,,,,,,,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR,CL-->BR
IO,IOT,British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,IO-->CL,,,,,,,,,,,,,,,,,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO,CL-->IO
UM,UMI,United States Minor Outlying Islands,,Americas,Northern America,,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,UM-->CL,,,,,,,,,,,,,,,,,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM,CL-->UM
VG,VGB,Virgin Islands (British),Road Town,Americas,Caribbean,,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,VG-->CL,,,,,,,,,,,,,,,,,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG,CL-->VG
