nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,AF-->CO,,,,,,,,,,,,,,,,,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF,CO-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,AX-->CO,,,,,,,,,,,,,,,,,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX,CO-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,AL-->CO,,,,,,,,,,,,,,,,,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL,CO-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,DZ-->CO,,,,,,,,,,,,,,,,,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ,CO-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,AS-->CO,,,,,,,,,,,,,,,,,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS,CO-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,AD-->CO,,,,,,,,,,,,,,,,,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD,CO-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,AO-->CO,,,,,,,,,,,,,,,,,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO,CO-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,AI-->CO,,,,,,,,,,,,,,,,,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI,CO-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,AQ-->CO,,,,,,,,,,,,,,,,,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ,CO-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,AG-->CO,,,,,,,,,,,,,,,,,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG,CO-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,AR-->CO,,,,,,,,,,,,,,,,,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR,CO-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,AM-->CO,,,,,,,,,,,,,,,,,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM,CO-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,AW-->CO,,,,,,,,,,,,,,,,,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW,CO-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,AU-->CO,,,,,,,,,,,,,,,,,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU,CO-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,AT-->CO,,,,,,,,,,,,,,,,,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT,CO-->AT
