nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,AF-->CZ,,,,,,,,,,,,,,,,,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF,CZ-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,AX-->CZ,,,,,,,,,,,,,,,,,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX,CZ-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,AL-->CZ,,,,,,,,,,,,,,,,,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL,CZ-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,DZ-->CZ,,,,,,,,,,,,,,,,,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ,CZ-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,AS-->CZ,,,,,,,,,,,,,,,,,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS,CZ-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,AD-->CZ,,,,,,,,,,,,,,,,,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD,CZ-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,AO-->CZ,,,,,,,,,,,,,,,,,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO,CZ-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,AI-->CZ,,,,,,,,,,,,,,,,,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI,CZ-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,AQ-->CZ,,,,,,,,,,,,,,,,,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ,CZ-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,AG-->CZ,,,,,,,,,,,,,,,,,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG,CZ-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,AR-->CZ,,,,,,,,,,,,,,,,,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR,CZ-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,AM-->CZ,,,,,,,,,,,,,,,,,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM,CZ-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,AW-->CZ,,,,,,,,,,,,,,,,,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW,CZ-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,AU-->CZ,,,,,,,,,,,,,,,,,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU,CZ-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,AT-->CZ,,,,,,,,,,,,,,,,,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT,CZ-->AT
