nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,AF-->DJ,,,,,,,,,,,,,,,,,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF,DJ-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,AX-->DJ,,,,,,,,,,,,,,,,,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX,DJ-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,AL-->DJ,,,,,,,,,,,,,,,,,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL,DJ-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,DZ-->DJ,,,,,,,,,,,,,,,,,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ,DJ-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,AS-->DJ,,,,,,,,,,,,,,,,,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS,DJ-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,AD-->DJ,,,,,,,,,,,,,,,,,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD,DJ-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,AO-->DJ,,,,,,,,,,,,,,,,,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO,DJ-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,AI-->DJ,,,,,,,,,,,,,,,,,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI,DJ-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,AQ-->DJ,,,,,,,,,,,,,,,,,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ,DJ-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,AG-->DJ,,,,,,,,,,,,,,,,,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG,DJ-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,AR-->DJ,,,,,,,,,,,,,,,,,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR,DJ-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,AM-->DJ,,,,,,,,,,,,,,,,,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM,DJ-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,AW-->DJ,,,,,,,,,,,,,,,,,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW,DJ-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,AU-->DJ,,,,,,,,,,,,,,,,,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU,DJ-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,AT-->DJ,,,,,,,,,,,,,,,,,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT,DJ-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,AZ-->DJ,,,,,,,,,,,,,,,,,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ,DJ-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,BS-->DJ,,,,,,,,,,,,,,,,,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS,DJ-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,BH-->DJ,,,,,,,,,,,,,,,,,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH,DJ-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,BD-->DJ,,,,,,,,,,,,,,,,,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD,DJ-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,BB-->DJ,,,,,,,,,,,,,,,,,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB,DJ-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,BY-->DJ,,,,,,,,,,,,,,,,,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY,DJ-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,BE-->DJ,,,,,,,,,,,,,,,,,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE,DJ-->BE
