nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,AF-->FI,,,,,,,,,,,,,,,,,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF,FI-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,AX-->FI,,,,,,,,,,,,,,,,,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX,FI-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,AL-->FI,,,,,,,,,,,,,,,,,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL,FI-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,DZ-->FI,,,,,,,,,,,,,,,,,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ,FI-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,AS-->FI,,,,,,,,,,,,,,,,,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS,FI-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,AD-->FI,,,,,,,,,,,,,,,,,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD,FI-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,AO-->FI,,,,,,,,,,,,,,,,,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO,FI-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,AI-->FI,,,,,,,,,,,,,,,,,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI,FI-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,AQ-->FI,,,,,,,,,,,,,,,,,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ,FI-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,AG-->FI,,,,,,,,,,,,,,,,,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG,FI-->AG
