nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,AF-->FM,,,,,,,,,,,,,,,,,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF,FM-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,AX-->FM,,,,,,,,,,,,,,,,,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX,FM-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,AL-->FM,,,,,,,,,,,,,,,,,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL,FM-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,DZ-->FM,,,,,,,,,,,,,,,,,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ,FM-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,AS-->FM,,,,,,,,,,,,,,,,,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS,FM-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,AD-->FM,,,,,,,,,,,,,,,,,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD,FM-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,AO-->FM,,,,,,,,,,,,,,,,,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO,FM-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,AI-->FM,,,,,,,,,,,,,,,,,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI,FM-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,AQ-->FM,,,,,,,,,,,,,,,,,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ,FM-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,AG-->FM,,,,,,,,,,,,,,,,,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG,FM-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,AR-->FM,,,,,,,,,,,,,,,,,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR,FM-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,AM-->FM,,,,,,,,,,,,,,,,,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM,FM-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,AW-->FM,,,,,,,,,,,,,,,,,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW,FM-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,AU-->FM,,,,,,,,,,,,,,,,,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU,FM-->AU
