nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,AF-->GD,,,,,,,,,,,,,,,,,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF,GD-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,AX-->GD,,,,,,,,,,,,,,,,,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX,GD-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,AL-->GD,,,,,,,,,,,,,,,,,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL,GD-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,DZ-->GD,,,,,,,,,,,,,,,,,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ,GD-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,AS-->GD,,,,,,,,,,,,,,,,,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS,GD-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,AD-->GD,,,,,,,,,,,,,,,,,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD,GD-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,AO-->GD,,,,,,,,,,,,,,,,,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO,GD-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,AI-->GD,,,,,,,,,,,,,,,,,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI,GD-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,AQ-->GD,,,,,,,,,,,,,,,,,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ,GD-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,AG-->GD,,,,,,,,,,,,,,,,,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG,GD-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,AR-->GD,,,,,,,,,,,,,,,,,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR,GD-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,AM-->GD,,,,,,,,,,,,,,,,,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM,GD-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,AW-->GD,,,,,,,,,,,,,,,,,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW,GD-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,AU-->GD,,,,,,,,,,,,,,,,,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU,GD-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,AT-->GD,,,,,,,,,,,,,,,,,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT,GD-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,AZ-->GD,,,,,,,,,,,,,,,,,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ,GD-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,BS-->GD,,,,,,,,,,,,,,,,,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS,GD-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,BH-->GD,,,,,,,,,,,,,,,,,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH,GD-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,BD-->GD,,,,,,,,,,,,,,,,,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD,GD-->BD
