nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,AF-->GF,,,,,,,,,,,,,,,,,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF,GF-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,AX-->GF,,,,,,,,,,,,,,,,,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX,GF-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,AL-->GF,,,,,,,,,,,,,,,,,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL,GF-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,DZ-->GF,,,,,,,,,,,,,,,,,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ,GF-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,AS-->GF,,,,,,,,,,,,,,,,,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS,GF-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,AD-->GF,,,,,,,,,,,,,,,,,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD,GF-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,AO-->GF,,,,,,,,,,,,,,,,,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO,GF-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,AI-->GF,,,,,,,,,,,,,,,,,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI,GF-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,AQ-->GF,,,,,,,,,,,,,,,,,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ,GF-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,AG-->GF,,,,,,,,,,,,,,,,,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG,GF-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,AR-->GF,,,,,,,,,,,,,,,,,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR,GF-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,AM-->GF,,,,,,,,,,,,,,,,,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM,GF-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,AW-->GF,,,,,,,,,,,,,,,,,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW,GF-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,AU-->GF,,,,,,,,,,,,,,,,,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU,GF-->AU
