nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,AF-->GP,,,,,,,,,,,,,,,,,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF,GP-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,AX-->GP,,,,,,,,,,,,,,,,,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX,GP-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,AL-->GP,,,,,,,,,,,,,,,,,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL,GP-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,DZ-->GP,,,,,,,,,,,,,,,,,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ,GP-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,AS-->GP,,,,,,,,,,,,,,,,,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS,GP-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,AD-->GP,,,,,,,,,,,,,,,,,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD,GP-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,AO-->GP,,,,,,,,,,,,,,,,,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO,GP-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,AI-->GP,,,,,,,,,,,,,,,,,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI,GP-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,AQ-->GP,,,,,,,,,,,,,,,,,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ,GP-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,AG-->GP,,,,,,,,,,,,,,,,,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG,GP-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,AR-->GP,,,,,,,,,,,,,,,,,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR,GP-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,AM-->GP,,,,,,,,,,,,,,,,,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM,GP-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,AW-->GP,,,,,,,,,,,,,,,,,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW,GP-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,AU-->GP,,,,,,,,,,,,,,,,,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU,GP-->AU
