nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,AF-->GS,,,,,,,,,,,,,,,,,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF,GS-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,AX-->GS,,,,,,,,,,,,,,,,,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX,GS-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,AL-->GS,,,,,,,,,,,,,,,,,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL,GS-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,DZ-->GS,,,,,,,,,,,,,,,,,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ,GS-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,AS-->GS,,,,,,,,,,,,,,,,,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS,GS-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,AD-->GS,,,,,,,,,,,,,,,,,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD,GS-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,AO-->GS,,,,,,,,,,,,,,,,,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO,GS-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,AI-->GS,,,,,,,,,,,,,,,,,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI,GS-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,AQ-->GS,,,,,,,,,,,,,,,,,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ,GS-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,AG-->GS,,,,,,,,,,,,,,,,,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG,GS-->AG
