nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,AF-->GU,,,,,,,,,,,,,,,,,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF,GU-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,AX-->GU,,,,,,,,,,,,,,,,,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX,GU-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,AL-->GU,,,,,,,,,,,,,,,,,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL,GU-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,DZ-->GU,,,,,,,,,,,,,,,,,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ,GU-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,AS-->GU,,,,,,,,,,,,,,,,,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS,GU-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,AD-->GU,,,,,,,,,,,,,,,,,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD,GU-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,AO-->GU,,,,,,,,,,,,,,,,,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO,GU-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,AI-->GU,,,,,,,,,,,,,,,,,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI,GU-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,AQ-->GU,,,,,,,,,,,,,,,,,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ,GU-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,AG-->GU,,,,,,,,,,,,,,,,,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG,GU-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,AR-->GU,,,,,,,,,,,,,,,,,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR,GU-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,AM-->GU,,,,,,,,,,,,,,,,,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM,GU-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,AW-->GU,,,,,,,,,,,,,,,,,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW,GU-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,AU-->GU,,,,,,,,,,,,,,,,,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU,GU-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,AT-->GU,,,,,,,,,,,,,,,,,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT,GU-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,AZ-->GU,,,,,,,,,,,,,,,,,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ,GU-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,BS-->GU,,,,,,,,,,,,,,,,,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS,GU-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,BH-->GU,,,,,,,,,,,,,,,,,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH,GU-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,BD-->GU,,,,,,,,,,,,,,,,,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD,GU-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,BB-->GU,,,,,,,,,,,,,,,,,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB,GU-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,BY-->GU,,,,,,,,,,,,,,,,,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY,GU-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,BE-->GU,,,,,,,,,,,,,,,,,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE,GU-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,BZ-->GU,,,,,,,,,,,,,,,,,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ,GU-->BZ
BJ,BEN,Benin,Porto-Novo,Africa,Western Africa,,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,BJ-->GU,,,,,,,,,,,,,,,,,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ,GU-->BJ
