nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,AF-->HM,,,,,,,,,,,,,,,,,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF,HM-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,AX-->HM,,,,,,,,,,,,,,,,,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX,HM-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,AL-->HM,,,,,,,,,,,,,,,,,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL,HM-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,DZ-->HM,,,,,,,,,,,,,,,,,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ,HM-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,AS-->HM,,,,,,,,,,,,,,,,,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS,HM-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,AD-->HM,,,,,,,,,,,,,,,,,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD,HM-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,AO-->HM,,,,,,,,,,,,,,,,,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO,HM-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,AI-->HM,,,,,,,,,,,,,,,,,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI,HM-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,AQ-->HM,,,,,,,,,,,,,,,,,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ,HM-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,AG-->HM,,,,,,,,,,,,,,,,,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG,HM-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,AR-->HM,,,,,,,,,,,,,,,,,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR,HM-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,AM-->HM,,,,,,,,,,,,,,,,,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM,HM-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,AW-->HM,,,,,,,,,,,,,,,,,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW,HM-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,AU-->HM,,,,,,,,,,,,,,,,,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU,HM-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,AT-->HM,,,,,,,,,,,,,,,,,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT,HM-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,AZ-->HM,,,,,,,,,,,,,,,,,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ,HM-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,BS-->HM,,,,,,,,,,,,,,,,,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS,HM-->BS
