nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,AF-->HR,,,,,,,,,,,,,,,,,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF,HR-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,AX-->HR,,,,,,,,,,,,,,,,,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX,HR-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,AL-->HR,,,,,,,,,,,,,,,,,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL,HR-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,DZ-->HR,,,,,,,,,,,,,,,,,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ,HR-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,AS-->HR,,,,,,,,,,,,,,,,,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS,HR-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,AD-->HR,,,,,,,,,,,,,,,,,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD,HR-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,AO-->HR,,,,,,,,,,,,,,,,,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO,HR-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,AI-->HR,,,,,,,,,,,,,,,,,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI,HR-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,AQ-->HR,,,,,,,,,,,,,,,,,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ,HR-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,AG-->HR,,,,,,,,,,,,,,,,,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG,HR-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,AR-->HR,,,,,,,,,,,,,,,,,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR,HR-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,AM-->HR,,,,,,,,,,,,,,,,,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM,HR-->AM
