nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,AF-->JM,,,,,,,,,,,,,,,,,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF,JM-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,AX-->JM,,,,,,,,,,,,,,,,,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX,JM-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,AL-->JM,,,,,,,,,,,,,,,,,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL,JM-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,DZ-->JM,,,,,,,,,,,,,,,,,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ,JM-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,AS-->JM,,,,,,,,,,,,,,,,,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS,JM-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,AD-->JM,,,,,,,,,,,,,,,,,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD,JM-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,AO-->JM,,,,,,,,,,,,,,,,,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO,JM-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,AI-->JM,,,,,,,,,,,,,,,,,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI,JM-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,AQ-->JM,,,,,,,,,,,,,,,,,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ,JM-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,AG-->JM,,,,,,,,,,,,,,,,,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG,JM-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,AR-->JM,,,,,,,,,,,,,,,,,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR,JM-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,AM-->JM,,,,,,,,,,,,,,,,,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM,JM-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,AW-->JM,,,,,,,,,,,,,,,,,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW,JM-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,AU-->JM,,,,,,,,,,,,,,,,,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU,JM-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,AT-->JM,,,,,,,,,,,,,,,,,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT,JM-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,AZ-->JM,,,,,,,,,,,,,,,,,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ,JM-->AZ
