nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,AF-->KW,,,,,,,,,,,,,,,,,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF,KW-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,AX-->KW,,,,,,,,,,,,,,,,,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX,KW-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,AL-->KW,,,,,,,,,,,,,,,,,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL,KW-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,DZ-->KW,,,,,,,,,,,,,,,,,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ,KW-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,AS-->KW,,,,,,,,,,,,,,,,,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS,KW-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,AD-->KW,,,,,,,,,,,,,,,,,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD,KW-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,AO-->KW,,,,,,,,,,,,,,,,,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO,KW-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,AI-->KW,,,,,,,,,,,,,,,,,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI,KW-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,AQ-->KW,,,,,,,,,,,,,,,,,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ,KW-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,AG-->KW,,,,,,,,,,,,,,,,,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG,KW-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,AR-->KW,,,,,,,,,,,,,,,,,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR,KW-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,AM-->KW,,,,,,,,,,,,,,,,,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM,KW-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,AW-->KW,,,,,,,,,,,,,,,,,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW,KW-->AW
