nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,AF-->KY,,,,,,,,,,,,,,,,,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF,KY-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,AX-->KY,,,,,,,,,,,,,,,,,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX,KY-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,AL-->KY,,,,,,,,,,,,,,,,,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL,KY-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,DZ-->KY,,,,,,,,,,,,,,,,,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ,KY-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,AS-->KY,,,,,,,,,,,,,,,,,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS,KY-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,AD-->KY,,,,,,,,,,,,,,,,,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD,KY-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,AO-->KY,,,,,,,,,,,,,,,,,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO,KY-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,AI-->KY,,,,,,,,,,,,,,,,,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI,KY-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,AQ-->KY,,,,,,,,,,,,,,,,,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ,KY-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,AG-->KY,,,,,,,,,,,,,,,,,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG,KY-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,AR-->KY,,,,,,,,,,,,,,,,,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR,KY-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,AM-->KY,,,,,,,,,,,,,,,,,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM,KY-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,AW-->KY,,,,,,,,,,,,,,,,,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW,KY-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,AU-->KY,,,,,,,,,,,,,,,,,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU,KY-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,AT-->KY,,,,,,,,,,,,,,,,,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT,KY-->AT
