nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,AF-->LS,,,,,,,,,,,,,,,,,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF,LS-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,AX-->LS,,,,,,,,,,,,,,,,,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX,LS-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,AL-->LS,,,,,,,,,,,,,,,,,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL,LS-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,DZ-->LS,,,,,,,,,,,,,,,,,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ,LS-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,AS-->LS,,,,,,,,,,,,,,,,,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS,LS-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,AD-->LS,,,,,,,,,,,,,,,,,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD,LS-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,AO-->LS,,,,,,,,,,,,,,,,,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO,LS-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,AI-->LS,,,,,,,,,,,,,,,,,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI,LS-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,AQ-->LS,,,,,,,,,,,,,,,,,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ,LS-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,AG-->LS,,,,,,,,,,,,,,,,,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG,LS-->AG
