nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,AF-->LT,,,,,,,,,,,,,,,,,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF,LT-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,AX-->LT,,,,,,,,,,,,,,,,,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX,LT-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,AL-->LT,,,,,,,,,,,,,,,,,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL,LT-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,DZ-->LT,,,,,,,,,,,,,,,,,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ,LT-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,AS-->LT,,,,,,,,,,,,,,,,,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS,LT-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,AD-->LT,,,,,,,,,,,,,,,,,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD,LT-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,AO-->LT,,,,,,,,,,,,,,,,,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO,LT-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,AI-->LT,,,,,,,,,,,,,,,,,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI,LT-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,AQ-->LT,,,,,,,,,,,,,,,,,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ,LT-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,AG-->LT,,,,,,,,,,,,,,,,,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG,LT-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,AR-->LT,,,,,,,,,,,,,,,,,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR,LT-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,AM-->LT,,,,,,,,,,,,,,,,,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM,LT-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,AW-->LT,,,,,,,,,,,,,,,,,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW,LT-->AW
