nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,AF-->MA,,,,,,,,,,,,,,,,,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF,MA-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,AX-->MA,,,,,,,,,,,,,,,,,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX,MA-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,AL-->MA,,,,,,,,,,,,,,,,,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL,MA-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,DZ-->MA,,,,,,,,,,,,,,,,,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ,MA-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,AS-->MA,,,,,,,,,,,,,,,,,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS,MA-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,AD-->MA,,,,,,,,,,,,,,,,,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD,MA-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,AO-->MA,,,,,,,,,,,,,,,,,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO,MA-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,AI-->MA,,,,,,,,,,,,,,,,,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI,MA-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,AQ-->MA,,,,,,,,,,,,,,,,,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ,MA-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,AG-->MA,,,,,,,,,,,,,,,,,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG,MA-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,AR-->MA,,,,,,,,,,,,,,,,,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR,MA-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,AM-->MA,,,,,,,,,,,,,,,,,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM,MA-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,AW-->MA,,,,,,,,,,,,,,,,,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW,MA-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,AU-->MA,,,,,,,,,,,,,,,,,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU,MA-->AU
