nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,AF-->MC,,,,,,,,,,,,,,,,,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF,MC-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,AX-->MC,,,,,,,,,,,,,,,,,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX,MC-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,AL-->MC,,,,,,,,,,,,,,,,,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL,MC-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,DZ-->MC,,,,,,,,,,,,,,,,,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ,MC-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,AS-->MC,,,,,,,,,,,,,,,,,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS,MC-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,AD-->MC,,,,,,,,,,,,,,,,,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD,MC-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,AO-->MC,,,,,,,,,,,,,,,,,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO,MC-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,AI-->MC,,,,,,,,,,,,,,,,,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI,MC-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,AQ-->MC,,,,,,,,,,,,,,,,,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ,MC-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,AG-->MC,,,,,,,,,,,,,,,,,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG,MC-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,AR-->MC,,,,,,,,,,,,,,,,,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR,MC-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,AM-->MC,,,,,,,,,,,,,,,,,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM,MC-->AM
