nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,AF-->MD,,,,,,,,,,,,,,,,,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF,MD-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,AX-->MD,,,,,,,,,,,,,,,,,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX,MD-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,AL-->MD,,,,,,,,,,,,,,,,,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL,MD-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,DZ-->MD,,,,,,,,,,,,,,,,,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ,MD-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,AS-->MD,,,,,,,,,,,,,,,,,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS,MD-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,AD-->MD,,,,,,,,,,,,,,,,,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD,MD-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,AO-->MD,,,,,,,,,,,,,,,,,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO,MD-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,AI-->MD,,,,,,,,,,,,,,,,,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI,MD-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,AQ-->MD,,,,,,,,,,,,,,,,,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ,MD-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,AG-->MD,,,,,,,,,,,,,,,,,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG,MD-->AG
