nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,AF-->MF,,,,,,,,,,,,,,,,,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF,MF-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,AX-->MF,,,,,,,,,,,,,,,,,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX,MF-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,AL-->MF,,,,,,,,,,,,,,,,,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL,MF-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,DZ-->MF,,,,,,,,,,,,,,,,,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ,MF-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,AS-->MF,,,,,,,,,,,,,,,,,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS,MF-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,AD-->MF,,,,,,,,,,,,,,,,,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD,MF-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,AO-->MF,,,,,,,,,,,,,,,,,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO,MF-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,AI-->MF,,,,,,,,,,,,,,,,,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI,MF-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,AQ-->MF,,,,,,,,,,,,,,,,,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ,MF-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,AG-->MF,,,,,,,,,,,,,,,,,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG,MF-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,AR-->MF,,,,,,,,,,,,,,,,,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR,MF-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,AM-->MF,,,,,,,,,,,,,,,,,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM,MF-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,AW-->MF,,,,,,,,,,,,,,,,,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW,MF-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,AU-->MF,,,,,,,,,,,,,,,,,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU,MF-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,AT-->MF,,,,,,,,,,,,,,,,,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT,MF-->AT
