nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,AF-->MR,,,,,,,,,,,,,,,,,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF,MR-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,AX-->MR,,,,,,,,,,,,,,,,,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX,MR-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,AL-->MR,,,,,,,,,,,,,,,,,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL,MR-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,DZ-->MR,,,,,,,,,,,,,,,,,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ,MR-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,AS-->MR,,,,,,,,,,,,,,,,,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS,MR-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,AD-->MR,,,,,,,,,,,,,,,,,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD,MR-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,AO-->MR,,,,,,,,,,,,,,,,,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO,MR-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,AI-->MR,,,,,,,,,,,,,,,,,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI,MR-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,AQ-->MR,,,,,,,,,,,,,,,,,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ,MR-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,AG-->MR,,,,,,,,,,,,,,,,,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG,MR-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,AR-->MR,,,,,,,,,,,,,,,,,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR,MR-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,AM-->MR,,,,,,,,,,,,,,,,,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM,MR-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,AW-->MR,,,,,,,,,,,,,,,,,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW,MR-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,AU-->MR,,,,,,,,,,,,,,,,,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU,MR-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,AT-->MR,,,,,,,,,,,,,,,,,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT,MR-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,AZ-->MR,,,,,,,,,,,,,,,,,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ,MR-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,BS-->MR,,,,,,,,,,,,,,,,,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS,MR-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,BH-->MR,,,,,,,,,,,,,,,,,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH,MR-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,BD-->MR,,,,,,,,,,,,,,,,,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD,MR-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,BB-->MR,,,,,,,,,,,,,,,,,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB,MR-->BB
