nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,AF-->MS,,,,,,,,,,,,,,,,,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF,MS-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,AX-->MS,,,,,,,,,,,,,,,,,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX,MS-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,AL-->MS,,,,,,,,,,,,,,,,,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL,MS-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,DZ-->MS,,,,,,,,,,,,,,,,,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ,MS-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,AS-->MS,,,,,,,,,,,,,,,,,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS,MS-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,AD-->MS,,,,,,,,,,,,,,,,,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD,MS-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,AO-->MS,,,,,,,,,,,,,,,,,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO,MS-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,AI-->MS,,,,,,,,,,,,,,,,,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI,MS-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,AQ-->MS,,,,,,,,,,,,,,,,,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ,MS-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,AG-->MS,,,,,,,,,,,,,,,,,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG,MS-->AG
