nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,AF-->NC,,,,,,,,,,,,,,,,,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF,NC-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,AX-->NC,,,,,,,,,,,,,,,,,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX,NC-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,AL-->NC,,,,,,,,,,,,,,,,,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL,NC-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,DZ-->NC,,,,,,,,,,,,,,,,,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ,NC-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,AS-->NC,,,,,,,,,,,,,,,,,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS,NC-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,AD-->NC,,,,,,,,,,,,,,,,,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD,NC-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,AO-->NC,,,,,,,,,,,,,,,,,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO,NC-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,AI-->NC,,,,,,,,,,,,,,,,,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI,NC-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,AQ-->NC,,,,,,,,,,,,,,,,,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ,NC-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,AG-->NC,,,,,,,,,,,,,,,,,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG,NC-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,AR-->NC,,,,,,,,,,,,,,,,,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR,NC-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,AM-->NC,,,,,,,,,,,,,,,,,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM,NC-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,AW-->NC,,,,,,,,,,,,,,,,,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW,NC-->AW
