nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,AF-->NE,,,,,,,,,,,,,,,,,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF,NE-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,AX-->NE,,,,,,,,,,,,,,,,,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX,NE-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,AL-->NE,,,,,,,,,,,,,,,,,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL,NE-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,DZ-->NE,,,,,,,,,,,,,,,,,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ,NE-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,AS-->NE,,,,,,,,,,,,,,,,,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS,NE-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,AD-->NE,,,,,,,,,,,,,,,,,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD,NE-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,AO-->NE,,,,,,,,,,,,,,,,,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO,NE-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,AI-->NE,,,,,,,,,,,,,,,,,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI,NE-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,AQ-->NE,,,,,,,,,,,,,,,,,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ,NE-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,AG-->NE,,,,,,,,,,,,,,,,,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG,NE-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,AR-->NE,,,,,,,,,,,,,,,,,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR,NE-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,AM-->NE,,,,,,,,,,,,,,,,,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM,NE-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,AW-->NE,,,,,,,,,,,,,,,,,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW,NE-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,AU-->NE,,,,,,,,,,,,,,,,,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU,NE-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,AT-->NE,,,,,,,,,,,,,,,,,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT,NE-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,AZ-->NE,,,,,,,,,,,,,,,,,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ,NE-->AZ
