nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,AF-->NF,,,,,,,,,,,,,,,,,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF,NF-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,AX-->NF,,,,,,,,,,,,,,,,,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX,NF-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,AL-->NF,,,,,,,,,,,,,,,,,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL,NF-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,DZ-->NF,,,,,,,,,,,,,,,,,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ,NF-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,AS-->NF,,,,,,,,,,,,,,,,,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS,NF-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,AD-->NF,,,,,,,,,,,,,,,,,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD,NF-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,AO-->NF,,,,,,,,,,,,,,,,,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO,NF-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,AI-->NF,,,,,,,,,,,,,,,,,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI,NF-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,AQ-->NF,,,,,,,,,,,,,,,,,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ,NF-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,AG-->NF,,,,,,,,,,,,,,,,,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG,NF-->AG
