nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,AF-->NL,,,,,,,,,,,,,,,,,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF,NL-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,AX-->NL,,,,,,,,,,,,,,,,,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX,NL-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,AL-->NL,,,,,,,,,,,,,,,,,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL,NL-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,DZ-->NL,,,,,,,,,,,,,,,,,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ,NL-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,AS-->NL,,,,,,,,,,,,,,,,,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS,NL-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,AD-->NL,,,,,,,,,,,,,,,,,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD,NL-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,AO-->NL,,,,,,,,,,,,,,,,,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO,NL-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,AI-->NL,,,,,,,,,,,,,,,,,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI,NL-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,AQ-->NL,,,,,,,,,,,,,,,,,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ,NL-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,AG-->NL,,,,,,,,,,,,,,,,,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG,NL-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,AR-->NL,,,,,,,,,,,,,,,,,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR,NL-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,AM-->NL,,,,,,,,,,,,,,,,,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM,NL-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,AW-->NL,,,,,,,,,,,,,,,,,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW,NL-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,AU-->NL,,,,,,,,,,,,,,,,,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU,NL-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,AT-->NL,,,,,,,,,,,,,,,,,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT,NL-->AT
