nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,AF-->NR,,,,,,,,,,,,,,,,,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF,NR-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,AX-->NR,,,,,,,,,,,,,,,,,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX,NR-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,AL-->NR,,,,,,,,,,,,,,,,,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL,NR-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,DZ-->NR,,,,,,,,,,,,,,,,,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ,NR-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,AS-->NR,,,,,,,,,,,,,,,,,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS,NR-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,AD-->NR,,,,,,,,,,,,,,,,,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD,NR-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,AO-->NR,,,,,,,,,,,,,,,,,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO,NR-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,AI-->NR,,,,,,,,,,,,,,,,,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI,NR-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,AQ-->NR,,,,,,,,,,,,,,,,,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ,NR-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,AG-->NR,,,,,,,,,,,,,,,,,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG,NR-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,AR-->NR,,,,,,,,,,,,,,,,,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR,NR-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,AM-->NR,,,,,,,,,,,,,,,,,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM,NR-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,AW-->NR,,,,,,,,,,,,,,,,,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW,NR-->AW
