nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,AF-->NZ,,,,,,,,,,,,,,,,,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF,NZ-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,AX-->NZ,,,,,,,,,,,,,,,,,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX,NZ-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,AL-->NZ,,,,,,,,,,,,,,,,,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL,NZ-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,DZ-->NZ,,,,,,,,,,,,,,,,,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ,NZ-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,AS-->NZ,,,,,,,,,,,,,,,,,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS,NZ-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,AD-->NZ,,,,,,,,,,,,,,,,,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD,NZ-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,AO-->NZ,,,,,,,,,,,,,,,,,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO,NZ-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,AI-->NZ,,,,,,,,,,,,,,,,,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI,NZ-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,AQ-->NZ,,,,,,,,,,,,,,,,,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ,NZ-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,AG-->NZ,,,,,,,,,,,,,,,,,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG,NZ-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,AR-->NZ,,,,,,,,,,,,,,,,,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR,NZ-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,AM-->NZ,,,,,,,,,,,,,,,,,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM,NZ-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,AW-->NZ,,,,,,,,,,,,,,,,,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW,NZ-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,AU-->NZ,,,,,,,,,,,,,,,,,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU,NZ-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,AT-->NZ,,,,,,,,,,,,,,,,,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT,NZ-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,AZ-->NZ,,,,,,,,,,,,,,,,,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ,NZ-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,BS-->NZ,,,,,,,,,,,,,,,,,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS,NZ-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,BH-->NZ,,,,,,,,,,,,,,,,,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH,NZ-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,BD-->NZ,,,,,,,,,,,,,,,,,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD,NZ-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,BB-->NZ,,,,,,,,,,,,,,,,,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB,NZ-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,BY-->NZ,,,,,,,,,,,,,,,,,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY,NZ-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,BE-->NZ,,,,,,,,,,,,,,,,,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE,NZ-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,BZ-->NZ,,,,,,,,,,,,,,,,,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ,NZ-->BZ
BJ,BEN,Benin,Porto-Novo,Africa,Western Africa,,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,BJ-->NZ,,,,,,,,,,,,,,,,,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ,NZ-->BJ
BM,BMU,Bermuda,Hamilton,Americas,Northern America,,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,BM-->NZ,,,,,,,,,,,,,,,,,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM,NZ-->BM
