nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,AF-->PA,,,,,,,,,,,,,,,,,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF,PA-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,AX-->PA,,,,,,,,,,,,,,,,,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX,PA-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,AL-->PA,,,,,,,,,,,,,,,,,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL,PA-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,DZ-->PA,,,,,,,,,,,,,,,,,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ,PA-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,AS-->PA,,,,,,,,,,,,,,,,,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS,PA-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,AD-->PA,,,,,,,,,,,,,,,,,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD,PA-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,AO-->PA,,,,,,,,,,,,,,,,,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO,PA-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,AI-->PA,,,,,,,,,,,,,,,,,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI,PA-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,AQ-->PA,,,,,,,,,,,,,,,,,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ,PA-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,AG-->PA,,,,,,,,,,,,,,,,,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG,PA-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,AR-->PA,,,,,,,,,,,,,,,,,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR,PA-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,AM-->PA,,,,,,,,,,,,,,,,,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM,PA-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,AW-->PA,,,,,,,,,,,,,,,,,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW,PA-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,AU-->PA,,,,,,,,,,,,,,,,,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU,PA-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,AT-->PA,,,,,,,,,,,,,,,,,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT,PA-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,AZ-->PA,,,,,,,,,,,,,,,,,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ,PA-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,BS-->PA,,,,,,,,,,,,,,,,,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS,PA-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,BH-->PA,,,,,,,,,,,,,,,,,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH,PA-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,BD-->PA,,,,,,,,,,,,,,,,,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD,PA-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,BB-->PA,,,,,,,,,,,,,,,,,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB,PA-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,BY-->PA,,,,,,,,,,,,,,,,,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY,PA-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,BE-->PA,,,,,,,,,,,,,,,,,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE,PA-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,BZ-->PA,,,,,,,,,,,,,,,,,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ,PA-->BZ
