nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,AF-->PG,,,,,,,,,,,,,,,,,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF,PG-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,AX-->PG,,,,,,,,,,,,,,,,,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX,PG-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,AL-->PG,,,,,,,,,,,,,,,,,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL,PG-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,DZ-->PG,,,,,,,,,,,,,,,,,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ,PG-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,AS-->PG,,,,,,,,,,,,,,,,,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS,PG-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,AD-->PG,,,,,,,,,,,,,,,,,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD,PG-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,AO-->PG,,,,,,,,,,,,,,,,,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO,PG-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,AI-->PG,,,,,,,,,,,,,,,,,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI,PG-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,AQ-->PG,,,,,,,,,,,,,,,,,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ,PG-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,AG-->PG,,,,,,,,,,,,,,,,,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG,PG-->AG
