nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,AF-->PL,,,,,,,,,,,,,,,,,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF,PL-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,AX-->PL,,,,,,,,,,,,,,,,,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX,PL-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,AL-->PL,,,,,,,,,,,,,,,,,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL,PL-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,DZ-->PL,,,,,,,,,,,,,,,,,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ,PL-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,AS-->PL,,,,,,,,,,,,,,,,,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS,PL-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,AD-->PL,,,,,,,,,,,,,,,,,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD,PL-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,AO-->PL,,,,,,,,,,,,,,,,,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO,PL-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,AI-->PL,,,,,,,,,,,,,,,,,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI,PL-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,AQ-->PL,,,,,,,,,,,,,,,,,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ,PL-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,AG-->PL,,,,,,,,,,,,,,,,,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG,PL-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,AR-->PL,,,,,,,,,,,,,,,,,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR,PL-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,AM-->PL,,,,,,,,,,,,,,,,,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM,PL-->AM
