nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,AF-->PR,,,,,,,,,,,,,,,,,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF,PR-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,AX-->PR,,,,,,,,,,,,,,,,,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX,PR-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,AL-->PR,,,,,,,,,,,,,,,,,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL,PR-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,DZ-->PR,,,,,,,,,,,,,,,,,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ,PR-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,AS-->PR,,,,,,,,,,,,,,,,,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS,PR-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,AD-->PR,,,,,,,,,,,,,,,,,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD,PR-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,AO-->PR,,,,,,,,,,,,,,,,,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO,PR-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,AI-->PR,,,,,,,,,,,,,,,,,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI,PR-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,AQ-->PR,,,,,,,,,,,,,,,,,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ,PR-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,AG-->PR,,,,,,,,,,,,,,,,,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG,PR-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,AR-->PR,,,,,,,,,,,,,,,,,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR,PR-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,AM-->PR,,,,,,,,,,,,,,,,,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM,PR-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,AW-->PR,,,,,,,,,,,,,,,,,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW,PR-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,AU-->PR,,,,,,,,,,,,,,,,,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU,PR-->AU
