nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,AF-->PS,,,,,,,,,,,,,,,,,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF,PS-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,AX-->PS,,,,,,,,,,,,,,,,,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX,PS-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,AL-->PS,,,,,,,,,,,,,,,,,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL,PS-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,DZ-->PS,,,,,,,,,,,,,,,,,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ,PS-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,AS-->PS,,,,,,,,,,,,,,,,,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS,PS-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,AD-->PS,,,,,,,,,,,,,,,,,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD,PS-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,AO-->PS,,,,,,,,,,,,,,,,,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO,PS-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,AI-->PS,,,,,,,,,,,,,,,,,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI,PS-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,AQ-->PS,,,,,,,,,,,,,,,,,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ,PS-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,AG-->PS,,,,,,,,,,,,,,,,,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG,PS-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,AR-->PS,,,,,,,,,,,,,,,,,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR,PS-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,AM-->PS,,,,,,,,,,,,,,,,,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM,PS-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,AW-->PS,,,,,,,,,,,,,,,,,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW,PS-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,AU-->PS,,,,,,,,,,,,,,,,,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU,PS-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,AT-->PS,,,,,,,,,,,,,,,,,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT,PS-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,AZ-->PS,,,,,,,,,,,,,,,,,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ,PS-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,BS-->PS,,,,,,,,,,,,,,,,,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS,PS-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,BH-->PS,,,,,,,,,,,,,,,,,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH,PS-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,BD-->PS,,,,,,,,,,,,,,,,,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD,PS-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,BB-->PS,,,,,,,,,,,,,,,,,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB,PS-->BB
