nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,AF-->PT,,,,,,,,,,,,,,,,,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF,PT-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,AX-->PT,,,,,,,,,,,,,,,,,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX,PT-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,AL-->PT,,,,,,,,,,,,,,,,,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL,PT-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,DZ-->PT,,,,,,,,,,,,,,,,,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ,PT-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,AS-->PT,,,,,,,,,,,,,,,,,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS,PT-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,AD-->PT,,,,,,,,,,,,,,,,,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD,PT-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,AO-->PT,,,,,,,,,,,,,,,,,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO,PT-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,AI-->PT,,,,,,,,,,,,,,,,,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI,PT-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,AQ-->PT,,,,,,,,,,,,,,,,,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ,PT-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,AG-->PT,,,,,,,,,,,,,,,,,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG,PT-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,AR-->PT,,,,,,,,,,,,,,,,,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR,PT-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,AM-->PT,,,,,,,,,,,,,,,,,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM,PT-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,AW-->PT,,,,,,,,,,,,,,,,,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW,PT-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,AU-->PT,,,,,,,,,,,,,,,,,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU,PT-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,AT-->PT,,,,,,,,,,,,,,,,,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT,PT-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,AZ-->PT,,,,,,,,,,,,,,,,,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ,PT-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,BS-->PT,,,,,,,,,,,,,,,,,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS,PT-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,BH-->PT,,,,,,,,,,,,,,,,,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH,PT-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,BD-->PT,,,,,,,,,,,,,,,,,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD,PT-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,BB-->PT,,,,,,,,,,,,,,,,,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB,PT-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,BY-->PT,,,,,,,,,,,,,,,,,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY,PT-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,BE-->PT,,,,,,,,,,,,,,,,,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE,PT-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,BZ-->PT,,,,,,,,,,,,,,,,,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ,PT-->BZ
BJ,BEN,Benin,Porto-Novo,Africa,Western Africa,,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,BJ-->PT,,,,,,,,,,,,,,,,,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ,PT-->BJ
BM,BMU,Bermuda,Hamilton,Americas,Northern America,,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,BM-->PT,,,,,,,,,,,,,,,,,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM,PT-->BM
BT,BTN,Bhutan,Thimphu,Asia,Southern Asia,,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,BT-->PT,,,,,,,,,,,,,,,,,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT,PT-->BT
BO,BOL,Bolivia,Sucre,Americas,South America,,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,BO-->PT,,,,,,,,,,,,,,,,,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO,PT-->BO
BQ,BES,Bonaire,Kralendijk,Americas,Caribbean,,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,BQ-->PT,,,,,,,,,,,,,,,,,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ,PT-->BQ
BA,BIH,Bosnia and Herzegovina,Sarajevo,Europe,Southern Europe,,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,BA-->PT,,,,,,,,,,,,,,,,,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA,PT-->BA
BW,BWA,Botswana,Gaborone,Africa,Southern Africa,,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,BW-->PT,,,,,,,,,,,,,,,,,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW,PT-->BW
BV,BVT,Bouvet Island,,,,,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,BV-->PT,,,,,,,,,,,,,,,,,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV,PT-->BV
BR,BRA,Brazil,Brasília,Americas,South America,,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,BR-->PT,,,,,,,,,,,,,,,,,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR,PT-->BR
IO,IOT,British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,IO-->PT,,,,,,,,,,,,,,,,,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO,PT-->IO
UM,UMI,United States Minor Outlying Islands,,Americas,Northern America,,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,UM-->PT,,,,,,,,,,,,,,,,,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM,PT-->UM
VG,VGB,Virgin Islands (British),Road Town,Americas,Caribbean,,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,VG-->PT,,,,,,,,,,,,,,,,,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG,PT-->VG
VI,VIR,Virgin Islands (U.S.),Charlotte Amalie,Americas,Caribbean,,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,VI-->PT,,,,,,,,,,,,,,,,,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI,PT-->VI
