nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,AF-->RO,,,,,,,,,,,,,,,,,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF,RO-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,AX-->RO,,,,,,,,,,,,,,,,,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX,RO-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,AL-->RO,,,,,,,,,,,,,,,,,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL,RO-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,DZ-->RO,,,,,,,,,,,,,,,,,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ,RO-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,AS-->RO,,,,,,,,,,,,,,,,,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS,RO-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,AD-->RO,,,,,,,,,,,,,,,,,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD,RO-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,AO-->RO,,,,,,,,,,,,,,,,,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO,RO-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,AI-->RO,,,,,,,,,,,,,,,,,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI,RO-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,AQ-->RO,,,,,,,,,,,,,,,,,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ,RO-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,AG-->RO,,,,,,,,,,,,,,,,,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG,RO-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,AR-->RO,,,,,,,,,,,,,,,,,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR,RO-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,AM-->RO,,,,,,,,,,,,,,,,,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM,RO-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,AW-->RO,,,,,,,,,,,,,,,,,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW,RO-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,AU-->RO,,,,,,,,,,,,,,,,,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU,RO-->AU
