nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,AF-->SA,,,,,,,,,,,,,,,,,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF,SA-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,AX-->SA,,,,,,,,,,,,,,,,,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX,SA-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,AL-->SA,,,,,,,,,,,,,,,,,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL,SA-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,DZ-->SA,,,,,,,,,,,,,,,,,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ,SA-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,AS-->SA,,,,,,,,,,,,,,,,,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS,SA-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,AD-->SA,,,,,,,,,,,,,,,,,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD,SA-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,AO-->SA,,,,,,,,,,,,,,,,,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO,SA-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,AI-->SA,,,,,,,,,,,,,,,,,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI,SA-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,AQ-->SA,,,,,,,,,,,,,,,,,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ,SA-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,AG-->SA,,,,,,,,,,,,,,,,,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG,SA-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,AR-->SA,,,,,,,,,,,,,,,,,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR,SA-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,AM-->SA,,,,,,,,,,,,,,,,,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM,SA-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,AW-->SA,,,,,,,,,,,,,,,,,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW,SA-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,AU-->SA,,,,,,,,,,,,,,,,,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU,SA-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,AT-->SA,,,,,,,,,,,,,,,,,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT,SA-->AT
