nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,AF-->SI,,,,,,,,,,,,,,,,,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF,SI-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,AX-->SI,,,,,,,,,,,,,,,,,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX,SI-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,AL-->SI,,,,,,,,,,,,,,,,,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL,SI-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,DZ-->SI,,,,,,,,,,,,,,,,,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ,SI-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,AS-->SI,,,,,,,,,,,,,,,,,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS,SI-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,AD-->SI,,,,,,,,,,,,,,,,,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD,SI-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,AO-->SI,,,,,,,,,,,,,,,,,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO,SI-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,AI-->SI,,,,,,,,,,,,,,,,,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI,SI-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,AQ-->SI,,,,,,,,,,,,,,,,,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ,SI-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,AG-->SI,,,,,,,,,,,,,,,,,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG,SI-->AG
