nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,AF-->SK,,,,,,,,,,,,,,,,,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF,SK-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,AX-->SK,,,,,,,,,,,,,,,,,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX,SK-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,AL-->SK,,,,,,,,,,,,,,,,,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL,SK-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,DZ-->SK,,,,,,,,,,,,,,,,,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ,SK-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,AS-->SK,,,,,,,,,,,,,,,,,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS,SK-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,AD-->SK,,,,,,,,,,,,,,,,,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD,SK-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,AO-->SK,,,,,,,,,,,,,,,,,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO,SK-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,AI-->SK,,,,,,,,,,,,,,,,,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI,SK-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,AQ-->SK,,,,,,,,,,,,,,,,,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ,SK-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,AG-->SK,,,,,,,,,,,,,,,,,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG,SK-->AG
