nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,AF-->SL,,,,,,,,,,,,,,,,,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF,SL-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,AX-->SL,,,,,,,,,,,,,,,,,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX,SL-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,AL-->SL,,,,,,,,,,,,,,,,,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL,SL-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,DZ-->SL,,,,,,,,,,,,,,,,,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ,SL-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,AS-->SL,,,,,,,,,,,,,,,,,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS,SL-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,AD-->SL,,,,,,,,,,,,,,,,,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD,SL-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,AO-->SL,,,,,,,,,,,,,,,,,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO,SL-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,AI-->SL,,,,,,,,,,,,,,,,,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI,SL-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,AQ-->SL,,,,,,,,,,,,,,,,,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ,SL-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,AG-->SL,,,,,,,,,,,,,,,,,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG,SL-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,AR-->SL,,,,,,,,,,,,,,,,,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR,SL-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,AM-->SL,,,,,,,,,,,,,,,,,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM,SL-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,AW-->SL,,,,,,,,,,,,,,,,,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW,SL-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,AU-->SL,,,,,,,,,,,,,,,,,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU,SL-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,AT-->SL,,,,,,,,,,,,,,,,,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT,SL-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,AZ-->SL,,,,,,,,,,,,,,,,,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ,SL-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,BS-->SL,,,,,,,,,,,,,,,,,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS,SL-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,BH-->SL,,,,,,,,,,,,,,,,,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH,SL-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,BD-->SL,,,,,,,,,,,,,,,,,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD,SL-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,BB-->SL,,,,,,,,,,,,,,,,,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB,SL-->BB
