nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,AF-->SM,,,,,,,,,,,,,,,,,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF,SM-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,AX-->SM,,,,,,,,,,,,,,,,,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX,SM-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,AL-->SM,,,,,,,,,,,,,,,,,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL,SM-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,DZ-->SM,,,,,,,,,,,,,,,,,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ,SM-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,AS-->SM,,,,,,,,,,,,,,,,,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS,SM-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,AD-->SM,,,,,,,,,,,,,,,,,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD,SM-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,AO-->SM,,,,,,,,,,,,,,,,,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO,SM-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,AI-->SM,,,,,,,,,,,,,,,,,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI,SM-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,AQ-->SM,,,,,,,,,,,,,,,,,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ,SM-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,AG-->SM,,,,,,,,,,,,,,,,,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG,SM-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,AR-->SM,,,,,,,,,,,,,,,,,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR,SM-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,AM-->SM,,,,,,,,,,,,,,,,,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM,SM-->AM
