nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,AF-->SN,,,,,,,,,,,,,,,,,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF,SN-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,AX-->SN,,,,,,,,,,,,,,,,,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX,SN-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,AL-->SN,,,,,,,,,,,,,,,,,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL,SN-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,DZ-->SN,,,,,,,,,,,,,,,,,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ,SN-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,AS-->SN,,,,,,,,,,,,,,,,,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS,SN-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,AD-->SN,,,,,,,,,,,,,,,,,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD,SN-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,AO-->SN,,,,,,,,,,,,,,,,,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO,SN-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,AI-->SN,,,,,,,,,,,,,,,,,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI,SN-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,AQ-->SN,,,,,,,,,,,,,,,,,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ,SN-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,AG-->SN,,,,,,,,,,,,,,,,,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG,SN-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,AR-->SN,,,,,,,,,,,,,,,,,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR,SN-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,AM-->SN,,,,,,,,,,,,,,,,,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM,SN-->AM
