nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,AF-->SR,,,,,,,,,,,,,,,,,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF,SR-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,AX-->SR,,,,,,,,,,,,,,,,,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX,SR-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,AL-->SR,,,,,,,,,,,,,,,,,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL,SR-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,DZ-->SR,,,,,,,,,,,,,,,,,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ,SR-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,AS-->SR,,,,,,,,,,,,,,,,,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS,SR-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,AD-->SR,,,,,,,,,,,,,,,,,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD,SR-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,AO-->SR,,,,,,,,,,,,,,,,,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO,SR-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,AI-->SR,,,,,,,,,,,,,,,,,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI,SR-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,AQ-->SR,,,,,,,,,,,,,,,,,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ,SR-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,AG-->SR,,,,,,,,,,,,,,,,,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG,SR-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,AR-->SR,,,,,,,,,,,,,,,,,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR,SR-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,AM-->SR,,,,,,,,,,,,,,,,,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM,SR-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,AW-->SR,,,,,,,,,,,,,,,,,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW,SR-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,AU-->SR,,,,,,,,,,,,,,,,,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU,SR-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,AT-->SR,,,,,,,,,,,,,,,,,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT,SR-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,AZ-->SR,,,,,,,,,,,,,,,,,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ,SR-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,BS-->SR,,,,,,,,,,,,,,,,,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS,SR-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,BH-->SR,,,,,,,,,,,,,,,,,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH,SR-->BH
