nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,AF-->SV,,,,,,,,,,,,,,,,,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF,SV-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,AX-->SV,,,,,,,,,,,,,,,,,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX,SV-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,AL-->SV,,,,,,,,,,,,,,,,,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL,SV-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,DZ-->SV,,,,,,,,,,,,,,,,,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ,SV-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,AS-->SV,,,,,,,,,,,,,,,,,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS,SV-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,AD-->SV,,,,,,,,,,,,,,,,,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD,SV-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,AO-->SV,,,,,,,,,,,,,,,,,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO,SV-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,AI-->SV,,,,,,,,,,,,,,,,,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI,SV-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,AQ-->SV,,,,,,,,,,,,,,,,,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ,SV-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,AG-->SV,,,,,,,,,,,,,,,,,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG,SV-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,AR-->SV,,,,,,,,,,,,,,,,,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR,SV-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,AM-->SV,,,,,,,,,,,,,,,,,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM,SV-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,AW-->SV,,,,,,,,,,,,,,,,,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW,SV-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,AU-->SV,,,,,,,,,,,,,,,,,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU,SV-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,AT-->SV,,,,,,,,,,,,,,,,,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT,SV-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,AZ-->SV,,,,,,,,,,,,,,,,,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ,SV-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,BS-->SV,,,,,,,,,,,,,,,,,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS,SV-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,BH-->SV,,,,,,,,,,,,,,,,,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH,SV-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,BD-->SV,,,,,,,,,,,,,,,,,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD,SV-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,BB-->SV,,,,,,,,,,,,,,,,,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB,SV-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,BY-->SV,,,,,,,,,,,,,,,,,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY,SV-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,BE-->SV,,,,,,,,,,,,,,,,,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE,SV-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,BZ-->SV,,,,,,,,,,,,,,,,,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ,SV-->BZ
