nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,AF-->TC,,,,,,,,,,,,,,,,,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF,TC-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,AX-->TC,,,,,,,,,,,,,,,,,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX,TC-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,AL-->TC,,,,,,,,,,,,,,,,,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL,TC-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,DZ-->TC,,,,,,,,,,,,,,,,,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ,TC-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,AS-->TC,,,,,,,,,,,,,,,,,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS,TC-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,AD-->TC,,,,,,,,,,,,,,,,,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD,TC-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,AO-->TC,,,,,,,,,,,,,,,,,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO,TC-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,AI-->TC,,,,,,,,,,,,,,,,,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI,TC-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,AQ-->TC,,,,,,,,,,,,,,,,,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ,TC-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,AG-->TC,,,,,,,,,,,,,,,,,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG,TC-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,AR-->TC,,,,,,,,,,,,,,,,,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR,TC-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,AM-->TC,,,,,,,,,,,,,,,,,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM,TC-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,AW-->TC,,,,,,,,,,,,,,,,,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW,TC-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,AU-->TC,,,,,,,,,,,,,,,,,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU,TC-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,AT-->TC,,,,,,,,,,,,,,,,,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT,TC-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,AZ-->TC,,,,,,,,,,,,,,,,,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ,TC-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,BS-->TC,,,,,,,,,,,,,,,,,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS,TC-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,BH-->TC,,,,,,,,,,,,,,,,,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH,TC-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,BD-->TC,,,,,,,,,,,,,,,,,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD,TC-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,BB-->TC,,,,,,,,,,,,,,,,,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB,TC-->BB
