nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,AF-->TH,,,,,,,,,,,,,,,,,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF,TH-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,AX-->TH,,,,,,,,,,,,,,,,,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX,TH-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,AL-->TH,,,,,,,,,,,,,,,,,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL,TH-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,DZ-->TH,,,,,,,,,,,,,,,,,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ,TH-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,AS-->TH,,,,,,,,,,,,,,,,,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS,TH-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,AD-->TH,,,,,,,,,,,,,,,,,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD,TH-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,AO-->TH,,,,,,,,,,,,,,,,,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO,TH-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,AI-->TH,,,,,,,,,,,,,,,,,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI,TH-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,AQ-->TH,,,,,,,,,,,,,,,,,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ,TH-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,AG-->TH,,,,,,,,,,,,,,,,,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG,TH-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,AR-->TH,,,,,,,,,,,,,,,,,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR,TH-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,AM-->TH,,,,,,,,,,,,,,,,,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM,TH-->AM
