nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,AF-->TV,,,,,,,,,,,,,,,,,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF,TV-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,AX-->TV,,,,,,,,,,,,,,,,,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX,TV-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,AL-->TV,,,,,,,,,,,,,,,,,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL,TV-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,DZ-->TV,,,,,,,,,,,,,,,,,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ,TV-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,AS-->TV,,,,,,,,,,,,,,,,,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS,TV-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,AD-->TV,,,,,,,,,,,,,,,,,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD,TV-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,AO-->TV,,,,,,,,,,,,,,,,,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO,TV-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,AI-->TV,,,,,,,,,,,,,,,,,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI,TV-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,AQ-->TV,,,,,,,,,,,,,,,,,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ,TV-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,AG-->TV,,,,,,,,,,,,,,,,,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG,TV-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,AR-->TV,,,,,,,,,,,,,,,,,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR,TV-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,AM-->TV,,,,,,,,,,,,,,,,,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM,TV-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,AW-->TV,,,,,,,,,,,,,,,,,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW,TV-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,AU-->TV,,,,,,,,,,,,,,,,,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU,TV-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,AT-->TV,,,,,,,,,,,,,,,,,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT,TV-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,AZ-->TV,,,,,,,,,,,,,,,,,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ,TV-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,BS-->TV,,,,,,,,,,,,,,,,,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS,TV-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,BH-->TV,,,,,,,,,,,,,,,,,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH,TV-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,BD-->TV,,,,,,,,,,,,,,,,,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD,TV-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,BB-->TV,,,,,,,,,,,,,,,,,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB,TV-->BB
BY,BLR,Belarus,Minsk,Europe,Eastern Europe,,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,BY-->TV,,,,,,,,,,,,,,,,,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY,TV-->BY
BE,BEL,Belgium,Brussels,Europe,Western Europe,,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,BE-->TV,,,,,,,,,,,,,,,,,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE,TV-->BE
BZ,BLZ,Belize,Belmopan,Americas,Central America,,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,BZ-->TV,,,,,,,,,,,,,,,,,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ,TV-->BZ
BJ,BEN,Benin,Porto-Novo,Africa,Western Africa,,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,BJ-->TV,,,,,,,,,,,,,,,,,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ,TV-->BJ
BM,BMU,Bermuda,Hamilton,Americas,Northern America,,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,BM-->TV,,,,,,,,,,,,,,,,,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM,TV-->BM
BT,BTN,Bhutan,Thimphu,Asia,Southern Asia,,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,BT-->TV,,,,,,,,,,,,,,,,,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT,TV-->BT
