nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,AF-->TZ,,,,,,,,,,,,,,,,,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF,TZ-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,AX-->TZ,,,,,,,,,,,,,,,,,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX,TZ-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,AL-->TZ,,,,,,,,,,,,,,,,,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL,TZ-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,DZ-->TZ,,,,,,,,,,,,,,,,,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ,TZ-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,AS-->TZ,,,,,,,,,,,,,,,,,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS,TZ-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,AD-->TZ,,,,,,,,,,,,,,,,,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD,TZ-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,AO-->TZ,,,,,,,,,,,,,,,,,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO,TZ-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,AI-->TZ,,,,,,,,,,,,,,,,,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI,TZ-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,AQ-->TZ,,,,,,,,,,,,,,,,,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ,TZ-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,AG-->TZ,,,,,,,,,,,,,,,,,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG,TZ-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,AR-->TZ,,,,,,,,,,,,,,,,,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR,TZ-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,AM-->TZ,,,,,,,,,,,,,,,,,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM,TZ-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,AW-->TZ,,,,,,,,,,,,,,,,,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW,TZ-->AW
