nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,AF-->UA,,,,,,,,,,,,,,,,,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF,UA-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,AX-->UA,,,,,,,,,,,,,,,,,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX,UA-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,AL-->UA,,,,,,,,,,,,,,,,,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL,UA-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,DZ-->UA,,,,,,,,,,,,,,,,,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ,UA-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,AS-->UA,,,,,,,,,,,,,,,,,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS,UA-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,AD-->UA,,,,,,,,,,,,,,,,,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD,UA-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,AO-->UA,,,,,,,,,,,,,,,,,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO,UA-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,AI-->UA,,,,,,,,,,,,,,,,,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI,UA-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,AQ-->UA,,,,,,,,,,,,,,,,,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ,UA-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,AG-->UA,,,,,,,,,,,,,,,,,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG,UA-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,AR-->UA,,,,,,,,,,,,,,,,,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR,UA-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,AM-->UA,,,,,,,,,,,,,,,,,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM,UA-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,AW-->UA,,,,,,,,,,,,,,,,,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW,UA-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,AU-->UA,,,,,,,,,,,,,,,,,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU,UA-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,AT-->UA,,,,,,,,,,,,,,,,,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT,UA-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,AZ-->UA,,,,,,,,,,,,,,,,,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ,UA-->AZ
BS,BHS,The Bahamas,Nassau,Americas,Caribbean,,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,BS-->UA,,,,,,,,,,,,,,,,,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS,UA-->BS
BH,BHR,Bahrain,Manama,Asia,Western Asia,,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,BH-->UA,,,,,,,,,,,,,,,,,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH,UA-->BH
BD,BGD,Bangladesh,Dhaka,Asia,Southern Asia,,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,BD-->UA,,,,,,,,,,,,,,,,,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD,UA-->BD
BB,BRB,Barbados,Bridgetown,Americas,Caribbean,,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,BB-->UA,,,,,,,,,,,,,,,,,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB,UA-->BB
