nu,code,name,capital,region,subregion,Unnamed: 6,quara/into/where/e,quara/into/where/v,quara/into/where/uv,quara/into/min/e,quara/into/min/v,quara/into/min/uv,quara/into/max/e,quara/into/max/v,quara/into/max/uv,quara/into/comment,test/into/pcr/e,test/into/pcr/v,test/into/pcr/uv,test/into/ag/e,test/into/ag/v,test/into/ag/uv,test/into/comment,visa/into,visa/into/comment,loadStates/into,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,quara/out/where/e,quara/out/where/v,quara/out/where/uv,quara/out/min/e,quara/out/min/v,quara/out/min/uv,quara/out/max/e,quara/out/max/v,quara/out/max/uv,quara/out/comment,test/out/pcr/e,test/out/pcr/v,test/out/pcr/uv,test/out/ag/e,test/out/ag/v,test/out/ag/uv,test/out/comment,visa/out,visa/out/comment
AF,AFG,Afghanistan,Kabul,Asia,Southern Asia,,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,AF-->VE,,,,,,,,,,,,,,,,,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF,VE-->AF
AX,ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,AX-->VE,,,,,,,,,,,,,,,,,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX,VE-->AX
AL,ALB,Albania,Tirana,Europe,Southern Europe,,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,AL-->VE,,,,,,,,,,,,,,,,,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL,VE-->AL
DZ,DZA,Algeria,Algiers,Africa,Northern Africa,,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,DZ-->VE,,,,,,,,,,,,,,,,,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ,VE-->DZ
AS,ASM,American Samoa,Pago Pago,Oceania,Polynesia,,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,AS-->VE,,,,,,,,,,,,,,,,,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS,VE-->AS
AD,AND,Andorra,Andorra la Vella,Europe,Southern Europe,,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,AD-->VE,,,,,,,,,,,,,,,,,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD,VE-->AD
AO,AGO,Angola,Luanda,Africa,Middle Africa,,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,AO-->VE,,,,,,,,,,,,,,,,,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO,VE-->AO
AI,AIA,Anguilla,The Valley,Americas,Caribbean,,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,AI-->VE,,,,,,,,,,,,,,,,,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI,VE-->AI
AQ,ATA,Antarctica,,Polar,,,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,AQ-->VE,,,,,,,,,,,,,,,,,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ,VE-->AQ
AG,ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,AG-->VE,,,,,,,,,,,,,,,,,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG,VE-->AG
AR,ARG,Argentina,Buenos Aires,Americas,South America,,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,AR-->VE,,,,,,,,,,,,,,,,,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR,VE-->AR
AM,ARM,Armenia,Yerevan,Asia,Western Asia,,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,AM-->VE,,,,,,,,,,,,,,,,,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM,VE-->AM
AW,ABW,Aruba,Oranjestad,Americas,Caribbean,,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,AW-->VE,,,,,,,,,,,,,,,,,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW,VE-->AW
AU,AUS,Australia,Canberra,Oceania,Australia and New Zealand,,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,AU-->VE,,,,,,,,,,,,,,,,,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU,VE-->AU
AT,AUT,Austria,Vienna,Europe,Western Europe,,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,AT-->VE,,,,,,,,,,,,,,,,,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT,VE-->AT
AZ,AZE,Azerbaijan,Baku,Asia,Western Asia,,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,AZ-->VE,,,,,,,,,,,,,,,,,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ,VE-->AZ
